 format: day,hour,forecast,value  location:102_83 Start : 20171201 
 1,0200,+4,321.000000 
 1,0200,+7,278.000000 
 1,0200,+10,222.000000 
 1,0200,+13,281.000000 
 1,0200,+16,270.000000 
 1,0200,+19,275.000000 
 1,0200,+22,304.000000 
 1,0200,+25,330.000000 
 1,0200,+28,302.000000 
 1,0200,+31,302.000000 
 1,0200,+34,295.000000 
 1,0200,+37,297.000000 
 1,0200,+40,305.000000 
 1,0200,+43,294.000000 
 1,0200,+46,294.000000 
 1,0200,+49,232.000000 
 1,0200,+52,216.000000 
 1,0200,+55,237.000000 
 1,0200,+58,274.000000 
 1,0200,+61,274.000000 
 1,0500,+4,278.000000 
 1,0500,+7,222.000000 
 1,0500,+10,281.000000 
 1,0500,+13,270.000000 
 1,0500,+16,275.000000 
 1,0500,+19,304.000000 
 1,0500,+22,330.000000 
 1,0500,+25,302.000000 
 1,0500,+28,302.000000 
 1,0500,+31,295.000000 
 1,0500,+34,297.000000 
 1,0500,+37,305.000000 
 1,0500,+40,294.000000 
 1,0500,+43,294.000000 
 1,0500,+46,232.000000 
 1,0500,+49,216.000000 
 1,0500,+52,237.000000 
 1,0500,+55,274.000000 
 1,0500,+58,274.000000 
 1,0800,+4,295.000000 
 1,0800,+7,281.000000 
 1,0800,+10,279.000000 
 1,0800,+13,275.000000 
 1,0800,+16,281.000000 
 1,0800,+19,327.000000 
 1,0800,+22,317.000000 
 1,0800,+25,278.000000 
 1,0800,+28,290.000000 
 1,0800,+31,286.000000 
 1,0800,+34,304.000000 
 1,0800,+37,287.000000 
 1,0800,+40,288.000000 
 1,0800,+43,201.000000 
 1,0800,+46,270.000000 
 1,0800,+49,239.000000 
 1,0800,+52,236.000000 
 1,0800,+55,274.000000 
 1,1100,+4,281.000000 
 1,1100,+7,279.000000 
 1,1100,+10,275.000000 
 1,1100,+13,281.000000 
 1,1100,+16,327.000000 
 1,1100,+19,317.000000 
 1,1100,+22,278.000000 
 1,1100,+25,290.000000 
 1,1100,+28,286.000000 
 1,1100,+31,304.000000 
 1,1100,+34,287.000000 
 1,1100,+37,288.000000 
 1,1100,+40,201.000000 
 1,1100,+43,270.000000 
 1,1100,+46,239.000000 
 1,1100,+49,236.000000 
 1,1100,+52,274.000000 
 1,1400,+4,279.000000 
 1,1400,+7,275.000000 
 1,1400,+10,281.000000 
 1,1400,+13,327.000000 
 1,1400,+16,317.000000 
 1,1400,+19,278.000000 
 1,1400,+22,290.000000 
 1,1400,+25,286.000000 
 1,1400,+28,304.000000 
 1,1400,+31,287.000000 
 1,1400,+34,288.000000 
 1,1400,+37,201.000000 
 1,1400,+40,270.000000 
 1,1400,+43,239.000000 
 1,1400,+46,236.000000 
 1,1400,+49,274.000000 
 1,1700,+4,275.000000 
 1,1700,+7,281.000000 
 1,1700,+10,327.000000 
 1,1700,+13,317.000000 
 1,1700,+16,278.000000 
 1,1700,+19,290.000000 
 1,1700,+22,286.000000 
 1,1700,+25,304.000000 
 1,1700,+28,287.000000 
 1,1700,+31,288.000000 
 1,1700,+34,201.000000 
 1,1700,+37,270.000000 
 1,1700,+40,239.000000 
 1,1700,+43,236.000000 
 1,1700,+46,274.000000 
 1,2000,+4,270.000000 
 1,2000,+7,327.000000 
 1,2000,+10,321.000000 
 1,2000,+13,292.000000 
 1,2000,+16,274.000000 
 1,2000,+19,291.000000 
 1,2000,+22,300.000000 
 1,2000,+25,291.000000 
 1,2000,+28,291.000000 
 1,2000,+31,270.000000 
 1,2000,+34,114.000000 
 1,2000,+37,349.000000 
 1,2000,+40,300.000000 
 1,2000,+43,281.000000 
 1,2000,+46,307.000000 
 1,2000,+49,292.000000 
