 format: day,hour,forecast,value  location:102_83 Start : 20180301 
 Start : 20180301 ,,,
1,200,4,10
1,200,7,10
1,200,10,10
1,200,13,10
1,200,16,10
1,200,19,0
1,200,22,0
1,200,25,0
1,200,28,0
1,200,31,0
1,200,34,0
1,200,37,0
1,200,40,0
1,200,43,0
1,200,46,10
1,200,49,10
1,200,52,20
1,200,55,20
1,200,58,20
1,200,61,20
1,500,4,10
1,500,7,10
1,500,10,10
1,500,13,10
1,500,16,0
1,500,19,0
1,500,22,0
1,500,25,0
1,500,28,0
1,500,31,0
1,500,34,0
1,500,37,0
1,500,40,0
1,500,43,10
1,500,46,10
1,500,49,20
1,500,52,20
1,500,55,20
1,500,58,20
1,800,4,10
1,800,7,10
1,800,10,10
1,800,13,0
1,800,16,0
1,800,19,0
1,800,22,0
1,800,25,0
1,800,28,0
1,800,31,0
1,800,34,0
1,800,37,0
1,800,40,10
1,800,43,10
1,800,46,20
1,800,49,20
1,800,52,20
1,800,55,20
1,1100,4,10
1,1100,7,10
1,1100,10,0
1,1100,13,0
1,1100,16,0
1,1100,19,0
1,1100,22,0
1,1100,25,0
1,1100,28,0
1,1100,31,0
1,1100,34,0
1,1100,37,10
1,1100,40,10
1,1100,43,20
1,1100,46,20
1,1100,49,20
1,1100,52,20
1,1400,4,10
1,1400,7,0
1,1400,10,0
1,1400,13,0
1,1400,16,0
1,1400,19,0
1,1400,22,0
1,1400,25,0
1,1400,28,0
1,1400,31,0
1,1400,34,10
1,1400,37,10
1,1400,40,20
1,1400,43,20
1,1400,46,20
1,1400,49,20
1,1700,4,0
1,1700,7,0
1,1700,10,0
1,1700,13,0
1,1700,16,0
1,1700,19,0
1,1700,22,0
1,1700,25,0
1,1700,28,0
1,1700,31,10
1,1700,34,10
1,1700,37,20
1,1700,40,20
1,1700,43,20
1,1700,46,20
1,2000,4,0
1,2000,7,0
1,2000,10,0
1,2000,13,0
1,2000,16,0
1,2000,19,0
1,2000,22,0
1,2000,25,0
1,2000,28,10
1,2000,31,10
1,2000,34,20
1,2000,37,20
1,2000,40,20
1,2000,43,20
1,2000,46,20
1,2000,49,20
1,2000,52,20
1,2000,55,20
1,2000,58,30
1,2000,61,30
1,2000,64,70
1,2000,67,70
1,2300,4,0
1,2300,7,0
1,2300,10,0
1,2300,13,0
1,2300,16,0
1,2300,19,0
1,2300,22,0
1,2300,25,10
1,2300,28,10
1,2300,31,20
1,2300,34,20
1,2300,37,20
1,2300,40,20
1,2300,43,20
1,2300,46,20
1,2300,49,20
1,2300,52,20
1,2300,55,30
1,2300,58,30
1,2300,61,70
1,2300,64,70
2,200,4,0
2,200,7,0
2,200,10,0
2,200,13,0
2,200,16,0
2,200,19,0
2,200,22,10
2,200,25,10
2,200,28,20
2,200,31,20
2,200,34,20
2,200,37,20
2,200,40,20
2,200,43,20
2,200,46,20
2,200,49,20
2,200,52,30
2,200,55,30
2,200,58,70
2,200,61,70
2,500,4,0
2,500,7,0
2,500,10,0
2,500,13,0
2,500,16,0
2,500,19,10
2,500,22,10
2,500,25,20
2,500,28,20
2,500,31,20
2,500,34,20
2,500,37,20
2,500,40,20
2,500,43,20
2,500,46,20
2,500,49,30
2,500,52,30
2,500,55,70
2,500,58,70
2,800,4,0
2,800,7,0
2,800,10,0
2,800,13,0
2,800,16,10
2,800,19,10
2,800,22,20
2,800,25,20
2,800,28,20
2,800,31,20
2,800,34,20
2,800,37,20
2,800,40,20
2,800,43,20
2,800,46,30
2,800,49,30
2,800,52,70
2,800,55,80
2,1100,4,0
2,1100,7,0
2,1100,10,0
2,1100,13,10
2,1100,16,10
2,1100,19,20
2,1100,22,20
2,1100,25,20
2,1100,28,20
2,1100,31,20
2,1100,34,20
2,1100,37,20
2,1100,40,20
2,1100,43,30
2,1100,46,30
2,1100,49,70
2,1100,52,80
2,1400,4,0
2,1400,7,0
2,1400,10,10
2,1400,13,10
2,1400,16,20
2,1400,19,20
2,1400,22,20
2,1400,25,20
2,1400,28,20
2,1400,31,20
2,1400,34,20
2,1400,37,20
2,1400,40,30
2,1400,43,30
2,1400,46,70
2,1400,49,80
2,1700,4,0
2,1700,7,10
2,1700,10,10
2,1700,13,20
2,1700,16,20
2,1700,19,20
2,1700,22,20
2,1700,25,20
2,1700,28,20
2,1700,31,20
2,1700,34,20
2,1700,37,30
2,1700,40,30
2,1700,43,70
2,1700,46,80
2,2000,4,10
2,2000,7,10
2,2000,10,20
2,2000,13,20
2,2000,16,20
2,2000,19,20
2,2000,22,20
2,2000,25,20
2,2000,28,20
2,2000,31,20
2,2000,34,30
2,2000,37,30
2,2000,40,70
2,2000,43,80
2,2000,46,80
2,2000,49,90
2,2000,52,80
2,2000,55,80
2,2000,58,80
2,2000,61,60
2,2000,64,30
2,2000,67,20
2,2300,4,10
2,2300,7,20
2,2300,10,20
2,2300,13,20
